order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,discount,payment_method,city,status,total_amount
ORD000001,CUS00229,2026-01-09,P011,Python Programming Book,Books,1,300000,0.0,Cash,Hai Phong,Cancelled,300000.0
ORD000002,CUS01210,2026-05-01,P002,iPhone 15,Electronics,1,22000000,0.0,Credit Card,Ho Chi Minh,Completed,22000000.0
ORD000003,CUS01437,2026-06-08,P011,Python Programming Book,Books,1,300000,0.05,E-Wallet,Ho Chi Minh,Pending,285000.0
ORD000004,CUS00866,2026-04-05,P012,Data Engineering Book,Books,1,450000,0.05,Banking,Ha Noi,Completed,427500.0
ORD000005,CUS01237,2026-03-02,P006,Women Dress,Fashion,2,650000,0.15,Banking,Nha Trang,Completed,1105000.0
ORD000006,CUS01699,2026-06-29,P005,Men T-Shirt,Fashion,3,250000,0.15,Banking,Ho Chi Minh,Completed,637500.0
ORD000007,CUS00593,2026-08-28,P013,Lipstick,Beauty,1,450000,0.0,Credit Card,Ha Noi,Pending,450000.0
ORD000008,CUS00759,2026-04-22,P003,Samsung Galaxy S24,Electronics,1,18000000,0.2,Cash,Can Tho,Completed,14400000.0
ORD000009,CUS00502,2026-02-13,P012,Data Engineering Book,Books,1,450000,0.2,Cash,Ho Chi Minh,Completed,360000.0
ORD000010,CUS01590,2026-01-27,P013,Lipstick,Beauty,1,450000,0.05,Credit Card,Ho Chi Minh,Cancelled,427500.0
ORD000011,CUS01795,2026-07-07,P010,Vacuum Cleaner,Home Appliances,2,4200000,0.1,E-Wallet,Can Tho,Completed,7560000.0
ORD000012,CUS00506,2026-07-18,P003,Samsung Galaxy S24,Electronics,1,18000000,0.15,Credit Card,Da Nang,Completed,15300000.0
ORD000013,CUS01044,2026-05-25,P003,Samsung Galaxy S24,Electronics,1,18000000,0.0,Banking,Ho Chi Minh,Completed,18000000.0
ORD000014,CUS00131,2026-04-20,P010,Vacuum Cleaner,Home Appliances,5,4200000,0.15,Banking,Da Nang,Cancelled,17850000.0
ORD000015,CUS01477,2026-02-18,P011,Python Programming Book,Books,3,300000,0.2,Banking,Ho Chi Minh,Completed,720000.0
ORD000016,CUS01954,2026-07-24,P001,Laptop ASUS,Electronics,1,25000000,0.15,Cash,Da Nang,Completed,21250000.0
ORD000017,CUS00612,2026-08-17,P011,Python Programming Book,Books,2,300000,0.0,Credit Card,Ho Chi Minh,Returned,600000.0
ORD000018,CUS01087,2026-08-20,P015,Badminton Racket,Sports,1,900000,0.0,Banking,Ha Noi,Returned,900000.0
ORD000019,CUS00630,2026-03-08,P013,Lipstick,Beauty,4,450000,0.0,Banking,Ha Noi,Completed,1800000.0
ORD000020,CUS01091,2026-07-05,P013,Lipstick,Beauty,2,450000,0.15,Banking,Da Nang,Completed,765000.0
ORD000021,CUS01903,2026-06-24,P004,Sony Headphones,Electronics,2,3500000,0.2,Banking,Hue,Completed,5600000.0
ORD000022,CUS01843,2026-05-04,P008,Rice Cooker,Home Appliances,1,1500000,0.0,Banking,Da Nang,Completed,1500000.0
ORD000023,CUS00015,2026-01-21,P004,Sony Headphones,Electronics,1,3500000,0.0,E-Wallet,Thu Dau Mot,Completed,3500000.0
ORD000024,CUS00571,2026-06-07,P004,Sony Headphones,Electronics,2,3500000,0.2,E-Wallet,Da Nang,Completed,5600000.0
ORD000025,CUS00969,2026-07-07,P013,Lipstick,Beauty,1,450000,0.2,Credit Card,Ha Noi,Completed,360000.0
ORD000026,CUS00111,2026-07-21,P012,Data Engineering Book,Books,1,450000,0.1,Cash,Thu Dau Mot,Completed,405000.0
ORD000027,CUS00390,2026-06-05,P004,Sony Headphones,Electronics,1,3500000,0.05,Credit Card,Thu Dau Mot,Completed,3325000.0
ORD000028,CUS01765,2026-08-04,P013,Lipstick,Beauty,1,450000,0.15,E-Wallet,Vung Tau,Cancelled,382500.0
ORD000029,CUS00485,2026-02-16,P014,Yoga Mat,Sports,1,400000,0.1,E-Wallet,Ho Chi Minh,Completed,360000.0
ORD000030,CUS00544,2026-08-26,P007,Nike Sneakers,Fashion,1,2500000,0.1,Cash,Bien Hoa,Completed,2250000.0
ORD000031,CUS01472,2026-05-07,P011,Python Programming Book,Books,1,300000,0.0,Credit Card,Da Nang,Completed,300000.0
ORD000032,CUS00103,2026-06-17,P001,Laptop ASUS,Electronics,4,25000000,0.15,Banking,Vung Tau,Completed,85000000.0
ORD000033,CUS00141,2026-06-22,P003,Samsung Galaxy S24,Electronics,3,18000000,0.1,Banking,Nha Trang,Completed,48600000.0
ORD000035,CUS00644,2026-03-13,P012,Data Engineering Book,Books,1,450000,0.2,Banking,Ha Noi,Completed,360000.0
ORD000036,CUS00020,2026-05-19,P002,iPhone 15,Electronics,5,22000000,0.0,Credit Card,Da Nang,Completed,110000000.0
ORD000037,CUS01805,2026-01-08,P006,Women Dress,Fashion,1,650000,0.0,Credit Card,Da Nang,Completed,650000.0
ORD000038,CUS01340,2026-05-22,P013,Lipstick,Beauty,3,450000,0.05,E-Wallet,Ho Chi Minh,Cancelled,1282500.0
ORD000039,CUS00237,2026-08-24,P005,Men T-Shirt,Fashion,2,250000,0.05,Banking,Ho Chi Minh,Completed,475000.0
ORD000040,CUS01299,2026-08-17,P011,Python Programming Book,Books,1,300000,0.0,Banking,Ha Noi,Completed,300000.0
ORD000041,CUS00684,2026-07-21,P001,Laptop ASUS,Electronics,5,25000000,0.0,Cash,Da Nang,Completed,125000000.0
ORD000042,CUS00230,2026-01-29,P001,Laptop ASUS,Electronics,2,25000000,0.0,Credit Card,Thu Dau Mot,Completed,50000000.0
ORD000043,CUS00881,2026-02-10,P003,Samsung Galaxy S24,Electronics,1,18000000,0.0,E-Wallet,Ho Chi Minh,Completed,18000000.0
ORD000045,CUS02000,2026-07-06,P003,Samsung Galaxy S24,Electronics,4,18000000,0.0,Banking,Nha Trang,Completed,72000000.0
ORD000048,CUS00049,2026-06-13,P004,Sony Headphones,Electronics,1,3500000,0.0,E-Wallet,Ho Chi Minh,Completed,3500000.0
ORD000049,CUS01392,2026-08-18,P007,Nike Sneakers,Fashion,1,2500000,0.0,Banking,Hue,Completed,2500000.0
ORD000050,CUS00079,2026-02-14,P005,Men T-Shirt,Fashion,1,250000,0.05,Credit Card,Hue,Completed,237500.0
ORD000051,CUS01181,2026-03-02,P015,Badminton Racket,Sports,2,900000,0.0,Credit Card,Thu Dau Mot,Completed,1800000.0
ORD000052,CUS01510,2026-07-12,P012,Data Engineering Book,Books,1,450000,0.2,E-Wallet,Can Tho,Completed,360000.0
ORD000053,CUS01475,2026-08-17,P002,iPhone 15,Electronics,1,22000000,0.1,Banking,Hai Phong,Completed,19800000.0
ORD000054,CUS00862,2026-06-13,P004,Sony Headphones,Electronics,2,3500000,0.0,Cash,Ha Noi,Completed,7000000.0
