order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,discount,payment_method,city,status,reject_reason
ORD000198,CUS00681,2026-02-12,,Lipstick,Beauty,2,450000,0.20,Banking,Bien Hoa,Completed,missing_required_value
ORD000225,CUS00654,2026-07-28,P012,Data Engineering Book,Books,1,450000,0.10,,Ha Noi,Completed,missing_required_value
ORD000228,,2026-08-15,P003,Samsung Galaxy S24,Electronics,1,18000000,0.05,Credit Card,Ho Chi Minh,Completed,missing_required_value
ORD000252,CUS00077,2026-08-06,P015,Badminton Racket,Sports,1,900000,0.00,,Ho Chi Minh,Pending,missing_required_value
ORD000268,CUS01913,2026-05-10,P002,iPhone 15,Electronics,1,22000000,0.00,Cash,Hue,,missing_required_value
ORD000397,,2026-07-13,P013,Lipstick,Beauty,3,450000,0.05,Credit Card,Bien Hoa,Completed,missing_required_value
ORD000472,CUS01482,2026-07-29,,iPhone 15,Electronics,1,22000000,0.00,Credit Card,Hue,Completed,missing_required_value
ORD000484,CUS00104,2026-05-18,P005,Men T-Shirt,Fashion,2,250000,0.10,E-Wallet,Ho Chi Minh,,missing_required_value
ORD000488,CUS00680,2026-06-20,,Rice Cooker,Home Appliances,2,1500000,0.20,Cash,Hai Phong,Completed,missing_required_value
ORD000546,CUS00472,2026-05-11,,Python Programming Book,Books,2,300000,0.10,Cash,Ha Noi,Completed,missing_required_value
ORD000548,CUS01173,2026-02-06,,Badminton Racket,Sports,1,900000,0.00,Credit Card,Ha Noi,Returned,missing_required_value
ORD000588,CUS01415,2026-02-07,P002,iPhone 15,Electronics,3,22000000,0.10,E-Wallet,Ho Chi Minh,,missing_required_value
ORD000633,,2026-08-29,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.05,E-Wallet,Ha Noi,Completed,missing_required_value
ORD000794,,2026-06-19,P008,Rice Cooker,Home Appliances,1,1500000,0.10,Credit Card,Ho Chi Minh,Completed,missing_required_value
ORD001026,CUS00858,2026-04-04,P005,Men T-Shirt,Fashion,1,250000,0.00,Credit Card,Nha Trang,,missing_required_value
ORD001123,CUS01630,2026-07-28,,iPhone 15,Electronics,1,22000000,0.15,Cash,Can Tho,Completed,missing_required_value
ORD001274,CUS00204,2026-08-26,,Yoga Mat,Sports,3,400000,0.00,Cash,Can Tho,Completed,missing_required_value
ORD001416,CUS01274,2026-01-12,,Men T-Shirt,Fashion,1,250000,0.00,E-Wallet,Ho Chi Minh,Completed,missing_required_value
ORD001485,CUS00294,2026-02-28,P003,Samsung Galaxy S24,Electronics,1,18000000,0.00,,Ho Chi Minh,Completed,missing_required_value
