order_id,customer_id,order_date,product_id,product_name,category,quantity,unit_price,discount,payment_method,city,status
ORD000001,CUS00229,2026-01-09,P011,Python Programming Book,Books,1,300000,0.00,Cash,Hai Phong,Cancelled
ORD000002,CUS01210,2026-05-01,P002,iPhone 15,Electronics,1,22000000,0.00,Credit Card,Ho Chi Minh,Completed
ORD000003,CUS01437,2026-06-08,P011,Python Programming Book,Books,1,300000,0.05,E-Wallet,Ho Chi Minh,Pending
ORD000004,CUS00866,2026-04-05,P012,Data Engineering Book,Books,1,450000,0.05,Banking,Ha Noi,Completed
ORD000005,CUS01237,2026-03-02,P006,Women Dress,Fashion,2,650000,0.15,Banking,Nha Trang,Completed
ORD000006,CUS01699,2026-06-29,P005,Men T-Shirt,Fashion,3,250000,0.15,Banking,Ho Chi Minh,Completed
ORD000007,CUS00593,2026-08-28,P013,Lipstick,Beauty,1,450000,0.00,Credit Card,Ha Noi,Pending
ORD000008,CUS00759,2026-04-22,P003,Samsung Galaxy S24,Electronics,1,18000000,0.20,Cash,Can Tho,Completed
ORD000009,CUS00502,2026-02-13,P012,Data Engineering Book,Books,1,450000,0.20,Cash,Ho Chi Minh,Completed
ORD000010,CUS01590,2026-01-27,P013,Lipstick,Beauty,1,450000,0.05,Credit Card,Ho Chi Minh,Cancelled
ORD000011,CUS01795,2026-07-07,P010,Vacuum Cleaner,Home Appliances,2,4200000,0.10,E-Wallet,Can Tho,Completed
ORD000012,CUS00506,2026-07-18,P003,Samsung Galaxy S24,Electronics,1,18000000,0.15,Credit Card,Da Nang,Completed
ORD000013,CUS01044,2026-05-25,P003,Samsung Galaxy S24,Electronics,1,18000000,0.00,Banking,Ho Chi Minh,Completed
ORD000014,CUS00131,2026-04-20,P010,Vacuum Cleaner,Home Appliances,5,4200000,0.15,Banking,Da Nang,Cancelled
ORD000015,CUS01477,2026-02-18,P011,Python Programming Book,Books,3,300000,0.20,Banking,Ho Chi Minh,Completed
ORD000016,CUS01954,2026-07-24,P001,Laptop ASUS,Electronics,1,25000000,0.15,Cash,Da Nang,Completed
ORD000017,CUS00612,2026-08-17,P011,Python Programming Book,Books,2,300000,0.00,Credit Card,Ho Chi Minh,Returned
ORD000018,CUS01087,2026-08-20,P015,Badminton Racket,Sports,1,900000,0.00,Banking,Ha Noi,Returned
ORD000019,CUS00630,2026-03-08,P013,Lipstick,,4,450000,0.00,Banking,Ha Noi,Completed
ORD000020,CUS01091,2026-07-05,P013,Lipstick,Beauty,2,450000,0.15,Banking,Da Nang,Completed
ORD000021,CUS01903,2026-06-24,P004,Sony Headphones,Electronics,2,3500000,0.20,Banking,Hue,Completed
ORD000022,CUS01843,2026-05-04,P008,Rice Cooker,Home Appliances,1,1500000,0.00,Banking,Da Nang,Completed
ORD000023,CUS00015,2026-01-21,P004,Sony Headphones,Electronics,1,3500000,0.00,E-Wallet,Thu Dau Mot,Completed
ORD000024,CUS00571,2026-06-07,P004,Sony Headphones,Electronics,2,3500000,0.20,E-Wallet,Da Nang,Completed
ORD000025,CUS00969,2026-07-07,P013,Lipstick,Beauty,1,450000,0.20,Credit Card,Ha Noi,Completed
ORD000026,CUS00111,2026-07-21,P012,Data Engineering Book,Books,1,450000,0.10,Cash,Thu Dau Mot,Completed
ORD000027,CUS00390,2026-06-05,P004,Sony Headphones,Electronics,1,3500000,0.05,Credit Card,Thu Dau Mot,Completed
ORD000028,CUS01765,2026-08-04,P013,Lipstick,Beauty,1,450000,0.15,E-Wallet,Vung Tau,Cancelled
ORD000029,CUS00485,2026-02-16,P014,Yoga Mat,Sports,1,400000,0.10,E-Wallet,Ho Chi Minh,Completed
ORD000030,CUS00544,2026-08-26,P007,Nike Sneakers,Fashion,1,2500000,0.10,Cash,Bien Hoa,Completed
ORD000031,CUS01472,2026-05-07,P011,Python Programming Book,Books,1,300000,0.00,Credit Card,Da Nang,Completed
ORD000032,CUS00103,2026-06-17,P001,Laptop ASUS,Electronics,4,25000000,0.15,Banking,Vung Tau,Completed
ORD000033,CUS00141,2026-06-22,P003,Samsung Galaxy S24,Electronics,3,18000000,0.10,Banking,Nha Trang,Completed
ORD000034,CUS00082,2026-06-14,P010,Vacuum Cleaner,Home Appliances,2,4200000,0.15,Bitcoin,Vung Tau,Completed
ORD000035,CUS00644,2026-03-13,P012,Data Engineering Book,Books,1,450000,0.20,Banking,Ha Noi,Completed
ORD000036,CUS00020,2026-05-19,P002,iPhone 15,Electronics,5,22000000,0.00,Credit Card,Da Nang,Completed
ORD000037,CUS01805,2026-01-08,P006,Women Dress,Fashion,1,650000,0.00,Credit Card,Da Nang,Completed
ORD000038,CUS01340,2026-05-22,P013,Lipstick,Beauty,3,450000,0.05,E-Wallet,Ho Chi Minh,Cancelled
ORD000039,CUS00237,2026-08-24,P005,Men T-Shirt,Fashion,2,250000,0.05,Banking,Ho Chi Minh,Completed
ORD000040,CUS01299,2026-08-17,P011,Python Programming Book,Books,1,300000,0.00,Banking,Ha Noi,Completed
ORD000041,CUS00684,2026-07-21,P001,Laptop ASUS,Electronics,5,25000000,0.00,Cash,Da Nang,Completed
ORD000042,CUS00230,2026-01-29,P001,Laptop ASUS,Electronics,2,25000000,0.00,Credit Card,Thu Dau Mot,Completed
ORD000043,CUS00881,2026-02-10,P003,Samsung Galaxy S24,Electronics,1,18000000,0.00,E-Wallet,Ho Chi Minh,Completed
ORD000044,CUS00725,2026-07-29,P002,iPhone 15,Electronics,4,22000000,1.50,Cash,Nha Trang,Completed
ORD000045,CUS02000,2026-07-06,P003,Samsung Galaxy S24,Electronics,4,18000000,0.00,Banking,Nha Trang,Completed
ORD000046,CUS01643,not a date,P007,Nike Sneakers,Fashion,3,2500000,0.05,Banking,Hai Phong,Completed
ORD000047,CUS01759,2026-05-07,P001,Laptop ASUS,Electronics,3,25000000,-0.20,Banking,Thu Dau Mot,Cancelled
ORD000048,CUS00049,2026-06-13,P004,Sony Headphones,Electronics,1,3500000,0.00,E-Wallet,Ho Chi Minh,Completed
ORD000049,CUS01392,2026-08-18,P007,Nike Sneakers,Fashion,1,2500000,0.00,Banking,Hue,Completed
ORD000050,CUS00079,2026-02-14,P005,Men T-Shirt,Fashion,1,250000,0.05,Credit Card,Hue,Completed
ORD000051,CUS01181,2026-03-02,P015,Badminton Racket,Sports,2,900000,0.00,Credit Card,Thu Dau Mot,Completed
ORD000052,CUS01510,2026-07-12,P012,Data Engineering Book,Books,1,450000,0.20,E-Wallet,Can Tho,Completed
ORD000053,CUS01475,2026-08-17,P002,iPhone 15,Electronics,1,22000000,0.10,Banking,Hai Phong,Completed
ORD000054,CUS00862,2026-06-13,P004,Sony Headphones,Electronics,2,3500000,0.00,Cash,Ha Noi,Completed
ORD000055,CUS00623,2026-03-14,P001,Laptop ASUS,Electronics,3,25000000,0.15,Cash,Ha Noi,Completed
ORD000056,CUS01047,2026-05-29,P004,Sony Headphones,Electronics,5,3500000,0.20,Banking,Ho Chi Minh,Completed
ORD000057,CUS01269,2026-04-27,P011,Python Programming Book,Books,5,300000,0.00,Cash,Ho Chi Minh,Completed
ORD000058,CUS00095,2026-03-16,P001,Laptop ASUS,Electronics,2,-100000,0.00,Credit Card,Nha Trang,Completed
ORD000059,CUS01427,2026-04-13,P012,Data Engineering Book,Books,1,450000,0.20,Cash,Nha Trang,Cancelled
ORD000060,CUS00219,2026-07-08,P015,Badminton Racket,,1,900000,0.20,Credit Card,Ho Chi Minh,Completed
ORD000061,CUS00249,2026-05-26,P014,Yoga Mat,Sports,1,400000,0.15,E-Wallet,Da Nang,Returned
ORD000062,CUS00907,2026-06-24,P015,Badminton Racket,Sports,4,900000,0.10,E-Wallet,Da Nang,Cancelled
ORD000063,CUS01765,2026-05-09,P012,Data Engineering Book,Books,3,450000,0.20,Banking,Bien Hoa,Completed
ORD000064,CUS00563,2026-05-23,P004,Sony Headphones,Electronics,1,3500000,0.05,Banking,Nha Trang,Completed
ORD000065,CUS00474,2026-04-05,P003,Samsung Galaxy S24,electronics,2,18000000,0.00,Credit Card,Ha Noi,Completed
ORD000066,CUS00424,2026-08-13,P001,Laptop ASUS,Electronics,4,25000000,0.15,E-Wallet,Ho Chi Minh,Cancelled
ORD000067,CUS00780,2026-05-31,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.10,E-Wallet,Vung Tau,Completed
ORD000068,CUS01505,2026-06-20,P012,Data Engineering Book,Books,4,450000,0.10,Banking,Ha Noi,Completed
ORD000069,CUS01370,2026-07-13,P006,Women Dress,Fashion,2,650000,0.10,E-Wallet,Hue,Completed
ORD000070,CUS00807,2026-06-22,P015,Badminton Racket,Sports,1,900000,0.20,Credit Card,Thu Dau Mot,Completed
ORD000071,CUS00777,2026-04-15,P005,Men T-Shirt,Fashion,1,250000,0.10,Banking,Vung Tau,Completed
ORD000072,CUS00168,2026-05-24,P014,Yoga Mat,Sports,2,400000,0.05,Banking,Ho Chi Minh,Returned
ORD000073,CUS01545,2026-01-08,P001,Laptop ASUS,Electronics,1,25000000,0.00,Cash,Ho Chi Minh,Completed
ORD000074,CUS01156,2026-08-15,P002,iPhone 15,Electronics,2,22000000,0.05,Banking,Can Tho,Completed
ORD000075,CUS01593,2026-07-31,P002,iPhone 15,Electronics,1,22000000,0.15,Banking,Ha Noi,Completed
ORD000076,CUS00813,2026-08-07,P007,Nike Sneakers,Fashion,1,2500000,0.20,E-Wallet,Ho Chi Minh,Completed
ORD000077,CUS01742,2026-07-26,P005,Men T-Shirt,Fashion,1,250000,0.15,Cash,Ha Noi,Completed
ORD000078,CUS00142,2026-05-11,P006,Women Dress,Fashion,1,650000,0.10,E-Wallet,Ho Chi Minh,Returned
ORD000079,CUS01826,2026-07-23,P011,Python Programming Book,Books,1,300000,0.00,Cash,Vung Tau,Completed
ORD000080,CUS01884,2026-06-16,P013,Lipstick,Beauty,1,450000,0.20,Credit Card,Ha Noi,Completed
ORD000081,CUS00178,2026-03-15,P015,Badminton Racket,Sports,1,900000,0.10,Credit Card,Hai Phong,Completed
ORD000082,CUS01743,2026-04-16,P008,Rice Cooker,Home Appliances,1,1500000,0.05,Banking,Nha Trang,Completed
ORD000083,CUS01139,2026-01-31,P005,Men T-Shirt,Fashion,1,250000,0.00,Cash,Ha Noi,Completed
ORD000084,CUS00976,2026-06-16,P012,Data Engineering Book,Books,1,450000,0.00,Banking,Ho Chi Minh,Completed
ORD000085,CUS01360,2026-06-16,P005,Men T-Shirt,Fashion,-5,250000,0.05,Credit Card,Bien Hoa,Completed
ORD000086,CUS00930,2026-03-09,P012,Data Engineering Book,Books,1,450000,0.20,Banking,Ho Chi Minh,Completed
ORD000087,CUS01414,2026-03-07,P013,Lipstick,Beauty,2,450000,0.05,Cash,Hue,Completed
ORD000088,CUS00206,2026-08-10,P005,Men T-Shirt,Fashion,1,250000,0.00,Banking,Hai Phong,Completed
ORD000089,CUS01996,2026-01-10,P001,Laptop ASUS,Electronics,2,25000000,0.00,Cash,Bien Hoa,Completed
ORD000090,CUS01176,2026-03-16,P001,Laptop ASUS,Electronics,1,25000000,0.00,E-Wallet,Ho Chi Minh,Cancelled
ORD000091,CUS01684,2026-01-16,P002,iPhone 15,Electronics,1,22000000,0.20,Cash,Ho Chi Minh,Pending
ORD000092,CUS00175,2026-08-04,P005,Men T-Shirt,Fashion,2,250000,0.10,Cash,Bien Hoa,Completed
ORD000093,CUS00780,2026-05-15,P009,Air Fryer,Home Appliances,1,2800000,0.15,E-Wallet,Ha Noi,Completed
ORD000094,CUS01967,2026-07-31,P010,Vacuum Cleaner,Home Appliances,3,4200000,0.20,Banking,Hai Phong,Completed
ORD000095,CUS01131,2026-01-01,P003,Samsung Galaxy S24,Electronics,1,18000000,0.20,Credit Card,Ho Chi Minh,Completed
ORD000096,CUS00580,2026-07-15,P012,Data Engineering Book,Books,1,450000,0.00,E-Wallet,Bien Hoa,Completed
ORD000097,CUS01647,2026-08-14,P011,Python Programming Book,Books,1,300000,0.00,Cash,Nha Trang,Pending
ORD000098,CUS00123,2026-02-10,P002,iPhone 15,Electronics,2,22000000,0.15,E-Wallet,Ha Noi,Completed
ORD000099,CUS01434,2026-04-09,P005,Men T-Shirt,Fashion,2,250000,0.10,Credit Card,Da Nang,Cancelled
ORD000100,CUS00661,2026-06-01,P012,Data Engineering Book,Books,1,450000,0.20,E-Wallet,Da Nang,Returned
ORD000101,CUS01377,2026-07-19,P013,Lipstick,Beauty,1,450000,0.00,Credit Card,Can Tho,Cancelled
ORD000102,CUS01199,2026-05-27,P003,Samsung Galaxy S24,Electronics,1,18000000,0.00,Credit Card,Ha Noi,Completed
ORD000103,CUS01757,2026-02-14,P002,iPhone 15,Electronics,2,22000000,0.05,Cash,Ha Noi,Completed
ORD000104,CUS00932,2026-02-09,P001,Laptop ASUS,Electronics,1,25000000,0.10,E-Wallet,Thu Dau Mot,Completed
ORD000105,CUS01112,2026-05-02,P014,Yoga Mat,SPORTS,1,400000,0.05,Cash,Ha Noi,Completed
ORD000106,CUS00417,2026-03-05,P001,Laptop ASUS,Electronics,4,25000000,0.10,E-Wallet,Ha Noi,Completed
ORD000107,CUS01247,2026-07-23,P011,Python Programming Book,books,1,300000,0.15,Banking,Ha Noi,Completed
ORD000108,CUS01870,2026-02-04,P014,Yoga Mat,Sports,2,400000,0.00,Credit Card,Hai Phong,Completed
ORD000109,CUS00851,2026-08-16,P005,Men T-Shirt,Fashion,1,250000,0.15,Banking,Ho Chi Minh,Completed
ORD000110,CUS01801,2026-02-03,P012,Data Engineering Book,Books,1,450000,0.10,Banking,Bien Hoa,Completed
ORD000111,CUS00580,2026-07-27,P001,Laptop ASUS,Electronics,2,25000000,0.20,Credit Card,Ho Chi Minh,Completed
ORD000112,CUS00681,2026-06-18,P006,Women Dress,Fashion,1,650000,0.05,E-Wallet,Hue,Completed
ORD000113,CUS00479,2026-08-14,P007,Nike Sneakers,Fashion,1,2500000,0.20,Credit Card,Nha Trang,Completed
ORD000114,CUS01623,2026-07-05,P011,Python Programming Book,Books,1,300000,0.00,Banking,Vung Tau,Completed
ORD000115,CUS01791,2026-08-04,P002,iPhone 15,Electronics,2,22000000,0.10,Banking,Ho Chi Minh,Cancelled
ORD000116,CUS00154,2026-05-09,P003,Samsung Galaxy S24,Electronics,1,18000000,0.20,Credit Card,Ho Chi Minh,Completed
ORD000117,CUS01760,2026-06-11,P011,Python Programming Book,Books,2,300000,0.10,E-Wallet,Ho Chi Minh,completed
ORD000118,CUS01402,2026-08-08,P011,Python Programming Book,Books,2,300000,0.10,E-Wallet,Bien Hoa,Completed
ORD000119,CUS00909,2026-02-10,P002,iPhone 15,Electronics,4,22000000,0.00,Banking,Ho Chi Minh,Completed
ORD000120,CUS00299,2026-03-14,P007,Nike Sneakers,Fashion,2,2500000,0.00,Banking,Ho Chi Minh,Cancelled
ORD000121,CUS01400,2026-03-30,P010,Vacuum Cleaner,Home Appliances,2,4200000,0.00,Credit Card,Ho Chi Minh,Completed
ORD000122,CUS01841,2026-07-29,P001,Laptop ASUS,Electronics,1,25000000,0.15,Banking,Ha Noi,Completed
ORD000123,CUS00613,2026-06-14,P010,Vacuum Cleaner,Home Appliances,2,4200000,0.10,Bitcoin,Ho Chi Minh,Completed
ORD000124,CUS00219,2026-03-19,P008,Rice Cooker,Home Appliances,1,1500000,0.05,E-Wallet,Ho Chi Minh,Returned
ORD000125,CUS00811,2026-03-19,P011,Python Programming Book,Books,3,300000,0.20,E-Wallet,Nha Trang,Completed
ORD000126,CUS01852,2026-08-25,P014,Yoga Mat,Sports,3,400000,0.15,E-Wallet,Ho Chi Minh,Completed
ORD000127,CUS01389,2026-07-25,P005,Men T-Shirt,Fashion,2,250000,0.00,Cash,Nha Trang,Completed
ORD000128,CUS01616,2026-05-19,P005,Men T-Shirt,Fashion,1,250000,0.00,Banking,Ho Chi Minh,Completed
ORD000129,CUS00412,2026-02-18,P003,Samsung Galaxy S24,Electronics,4,18000000,0.05,Credit Card,Nha Trang,Pending
ORD000130,CUS01872,2026-07-16,P005,Men T-Shirt,Fashion,5,250000,0.05,Cash,Ha Noi,Completed
ORD000131,CUS00289,2026-07-08,P002,iPhone 15,Electronics,3,22000000,0.20,Cash,Ha Noi,Pending
ORD000132,CUS00750,2026-02-13,P009,Air Fryer,Home Appliances,1,2800000,0.15,Banking,Ha Noi,completed
ORD000133,CUS01198,2026-04-21,P005,Men T-Shirt,Fashion,4,250000,0.00,Cash,Ha Noi,Completed
ORD000134,CUS00672,2026-08-08,P009,Air Fryer,Home Appliances,2,2800000,0.20,E-Wallet,Nha Trang,Completed
ORD000135,CUS00239,2026-02-02,P007,Nike Sneakers,Fashion,1,2500000,0.10,Banking,Ho Chi Minh,Completed
ORD000136,CUS00930,2026-04-24,P007,Nike Sneakers,Fashion,2,2500000,0.15,Credit Card,Bien Hoa,Completed
ORD000137,CUS01342,2026-02-16,P007,Nike Sneakers,Fashion,2,2500000,0.05,Banking,Ha Noi,Completed
ORD000138,CUS01752,2026-04-22,P004,Sony Headphones,Electronics,1,3500000,0.20,Credit Card,Ha Noi,Completed
ORD000139,CUS01944,2026-08-15,P002,iPhone 15,Electronics,1,-100000,0.00,Cash,Da Nang,Completed
ORD000140,CUS00684,2026-03-05,P013,Lipstick,Beauty,3,450000,0.00,Banking,Bien Hoa,Completed
ORD000141,CUS01666,2026-08-11,P004,Sony Headphones,Electronics,3,3500000,0.15,Banking,Thu Dau Mot,Completed
ORD000142,CUS01107,2026-03-06,P003,Samsung Galaxy S24,Electronics,1,18000000,0.00,Banking,Ha Noi,Completed
ORD000143,CUS00664,2026-01-09,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.20,Credit Card,Ho Chi Minh,Completed
ORD000144,CUS01594,2026-04-19,P008,Rice Cooker,Home Appliances,1,1500000,0.15,Banking,Can Tho,Completed
ORD000145,CUS01776,2026-06-10,P015,Badminton Racket,Sports,1,900000,0.00,Bitcoin,Ha Noi,Completed
ORD000146,CUS00222,2026-05-30,P011,Python Programming Book,Books,1,300000,0.00,Banking,Ho Chi Minh,Completed
ORD000147,CUS01297,2026-06-23,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.15,Credit Card,Ha Noi,Completed
ORD000148,CUS01625,2026-07-28,P002,iPhone 15,Electronics,2,22000000,0.15,Cash,Ho Chi Minh,Completed
ORD000149,CUS00848,2026-04-15,P004,Sony Headphones,Electronics,1,3500000,0.20,Banking,Ha Noi,Completed
ORD000150,CUS01953,2026-02-16,P006,Women Dress,Fashion,1,650000,0.00,Banking,Ho Chi Minh,Completed
ORD000151,CUS00267,2026-06-19,P013,Lipstick,Beauty,5,450000,0.15,Banking,Ho Chi Minh,Completed
ORD000152,CUS01928,2026-07-28,P011,Python Programming Book,Books,4,300000,0.00,E-Wallet,Can Tho,Completed
ORD000153,CUS01040,2026-03-22,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.00,Credit Card,Da Nang,Completed
ORD000154,CUS01176,2026-03-14,P005,Men T-Shirt,Fashion,3,250000,0.15,Cash,Can Tho,Completed
ORD000155,CUS01348,2026-07-09,P015,Badminton Racket,Sports,1,900000,0.05,Cash,Ha Noi,Completed
ORD000156,CUS00372,2026-08-19,P001,Laptop ASUS,Electronics,2,25000000,0.00,Banking,Can Tho,Completed
ORD000157,CUS01087,2026-03-14,P012,Data Engineering Book,Books,1,450000,0.00,Credit Card,Bien Hoa,Completed
ORD000158,CUS01222,2026-01-02,P010,Vacuum Cleaner,Home Appliances,1,4200000,0.15,Banking,Ho Chi Minh,Completed
ORD000159,CUS00995,2026-06-14,P007,Nike Sneakers,Fashion,1,2500000,0.15,Banking,Ha Noi,Completed
ORD000160,CUS01215,2026-05-22,P011,Python Programming Book,Books,1,300000,0.00,Credit Card,Da Nang,Completed
ORD000161,CUS01937,2026-03-05,P005,Men T-Shirt,Fashion,3,250000,0.05,Banking,Ho Chi Minh,Completed
ORD000162,CUS00265,2026-04-23,P003,Samsung Galaxy S24,Electronics,1,18000000,0.15,E-Wallet,Thu Dau Mot,Completed
ORD000163,CUS01520,2026-01-01,P014,Yoga Mat,Sports,1,400000,0.00,E-Wallet,Da Nang,Completed
ORD000164,CUS01312,2026-05-04,P012,Data Engineering Book,Books,1,450000,0.05,Banking,Vung Tau,Completed
ORD000165,CUS01884,2026-04-14,P012,Data Engineering Book,Books,3,450000,0.00,Credit Card,Ha Noi,Completed
ORD000166,CUS00636,2026-07-08,P014,Yoga Mat,Sports,1,400000,0.00,Banking,Can Tho,Completed
ORD000167,CUS01856,2026-07-12,P004,Sony Headphones,Electronics,2,3500000,0.20,E-Wallet,Ho Chi Minh,Completed
ORD000168,CUS00356,2026-06-25,P004,Sony Headphones,Electronics,3,3500000,0.00,Banking,Bien Hoa,Completed
